DataSeries,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Total PRs Granted,35264,34491,34493,33435,27470,32915,32710,31849,31050,29955,29854,29869,29891
    Aged 20 Years And Below,24.8,24.7,23.7,22.9,22.7,26.2,29.5,30.5,28.9,29.4,27.5,27.1,29.9
    Aged 21-30 Years,32.6,29.2,29.8,35.7,37.1,38.5,38.3,38.6,40.9,38.4,40.6,40.6,38.9
    Aged 31-40 Years,31.4,33.6,34.2,31.5,31.2,28.4,25.3,24,23.5,24.5,24.9,24.3,23.3
    Aged Above 40 Years,11.3,12.5,12.2,9.9,9.1,7,7,6.8,6.8,7.7,7,8.1,8
    From Southeast Asian Countries,63.9,56.8,60.9,60.3,56.2,59.6,62.5,60.1,62,58.5,55.7,55.3,51.2
    From Other Asian Countries,29.6,35.8,31.1,32.2,35.4,34.1,31.2,31.8,29.6,32.5,34.6,34.6,38.4
    From Other Countries,6.5,7.4,8,7.5,8.4,6.3,6.3,8.1,8.4,9,9.6,10.1,10.4
    With Secondary And Below Qualification Among Those Aged 20 Years & Over,14.5,17.2,18.7,16.6,15.7,17.3,17.8,14.5,17.3,22.3,19.1,18.2,19.4
    With Post-Secondary Qualification Among Those Aged 20 Years & Over,85.5,82.8,81.3,83.4,84.3,82.7,82.2,85.5,82.7,77.7,80.9,81.8,80.6
Total SCs Granted,22766,22140,21802,20297,19741,21115,20974,20503,20589,19236,19003,19096,19386
    Aged 20 Years And Below,29.9,32,29.6,32,32.8,31.9,33.1,32.8,33.7,33.9,33.1,36.7,33.9
    Aged 21-30 Years,14.3,12.5,13.4,16.1,16.2,16.5,14.9,14.3,13.4,14.5,16,16.5,18.5
    Aged 31-40 Years,28.5,27.8,28.2,27.5,28,26.4,28.1,28.8,29.3,29.4,29.8,28,28.5
    Aged Above 40 Years,27.4,27.7,28.7,24.4,22.9,25.1,23.9,24.1,23.6,22.2,21,18.7,19
    From Southeast Asian Countries,64.3,71.7,67.9,59.1,58.8,65.2,64.3,68.8,64.8,61.6,57.9,57.9,57.9
    From Other Asian Countries,32.8,26,29.4,38.1,38.5,33,33.5,29.4,33.2,36.6,40,39.8,39.9
    From Other Countries,2.9,2.3,2.6,2.8,2.6,1.8,2.2,1.8,2,1.8,2,2.3,2.2
    With Secondary And Below Qualification Among Those Aged 20 Years & Over,18.9,22.8,21.8,18.9,19.1,21.9,21.6,25,26.5,25.9,25.1,25.6,24.9
    With Post-Secondary Qualification Among Those Aged 20 Years & Over,81.1,77.2,78.2,81.1,80.9,78.1,78.4,75,73.5,74.1,74.9,74.4,75.1
